Timestamp,Temperature,Precipitation,Wind Speed,Wind Direction
20220102T1400,61.28695,0.0,5.3733053,272.38596
20220102T1500,60.74695,0.0,9.419069,265.91437
20220102T1600,58.56895,0.0,7.857985,265.10092
20220102T1700,55.97695,0.0,7.6055837,241.92752
20220102T1800,54.51895,0.0,8.225115,247.61987
20220102T1900,54.21295,0.0,9.204117,244.05771
20220102T2000,53.94295,0.0,10.187275,250.76932
20220102T2100,53.43895,0.0,10.760571,249.30457
20220102T2200,53.13295,0.0,13.564395,256.65128
20220102T2300,52.862953,0.0,12.520851,251.24136
20220103T0000,53.15095,0.0,16.873678,255.41107
20220103T0100,52.82695,0.0,16.548794,260.665
20220103T0200,52.178955,0.0,16.670805,258.38852
20220103T0300,51.044952,0.0,15.518922,254.96219
20220103T0400,50.954952,0.0,15.920011,252.83807
20220103T0500,50.540955,0.0,13.890636,255.06857
20220103T0600,50.162952,0.0,13.723928,250.9744
20220103T0700,49.190952,0.0,11.677151,253.30075
20220103T0800,49.154953,0.0,12.520851,251.24136
20220103T0900,51.08095,0.0,14.757,255.96376
20220103T1000,52.75495,0.0,16.806822,260.0362
20220103T1100,53.67295,0.0,18.130228,260.7701
20220103T1200,55.27495,0.0,15.666541,260.1342
20220103T1300,55.79695,0.0,16.384699,265.30133
20220103T1400,55.61695,0.0,15.679313,255.96376
20220103T1500,54.734955,0.0,14.873525,257.84506
20220103T1600,52.84495,0.0,12.478817,255.46555
20220103T1700,52.59295,0.0,10.053778,249.14554
20220103T1800,52.71895,0.0,11.504466,243.43495
20220103T1900,52.16095,0.0,10.379481,232.88315
20220103T2000,51.96295,0.0,8.769817,232.2532
20220103T2100,52.28695,0.0,8.701078,223.95837
20220103T2200,52.05295,0.0,8.384782,226.08093
20220103T2300,50.72095,0.1,6.639595,212.61925
20220104T0000,50.792953,0.0,6.452311,213.69006
20220104T0100,50.90095,0.1,6.7108088,216.8699
20220104T0200,50.792953,0.3,6.762803,235.7843
20220104T0300,51.31495,0.1,5.592341,216.8699
20220104T0400,51.31495,0.1,10.482618,219.80557
20220104T0500,51.36895,0.2,14.009009,218.51694
20220104T0600,50.19895,0.4,17.539635,217.74681
20220104T0700,51.18895,0.3,16.627224,222.2737
20220104T0800,52.03495,0.6,18.190845,224.50179
20220104T0900,54.482952,0.9,22.01309,232.43141
20220104T1000,55.166954,0.6,20.673214,234.24611
20220104T1100,58.40695,0.4,24.716883,244.82648
20220104T1200,62.294952,0.0,21.327284,245.85446
20220104T1300,62.402954,0.0,19.108465,242.83502
20220104T1400,62.150948,0.0,18.469294,253.10135
20220104T1500,61.23295,0.0,17.984747,264.28943
20220104T1600,59.01895,0.0,13.723928,289.0256
20220104T1700,53.600952,0.0,9.556196,327.42596
20220104T1800,50.57695,0.1,11.2114935,331.38956
20220104T1900,44.18695,0.8,15.652162,329.03625
20220104T2000,44.40295,1.1,10.28261,315.8814
20220104T2100,43.84495,0.2,13.571772,278.53076
20220104T2200,42.94495,0.0,14.092699,270.0
20220104T2300,42.65695,0.0,13.169457,249.10223
20220105T0000,43.77295,0.0,12.929802,232.7336
20220105T0100,44.222954,0.0,15.166692,232.79208
20220105T0200,44.09695,0.0,14.041121,247.52057
20220105T0300,43.48495,0.0,15.093934,263.19095
20220105T0400,42.33295,0.0,15.452682,292.10944
20220105T0500,36.24895,0.5,12.341727,313.5312
20220105T0600,37.49095,0.2,15.201296,302.98853
20220105T0700,35.43895,0.0,15.408904,297.68106
20220105T0800,34.34095,0.0,15.634568,289.21268
20220105T0900,34.43095,0.0,15.191416,283.627
20220105T1000,36.10495,0.0,15.122086,277.65067
20220105T1100,37.544952,0.0,15.475332,274.14462
20220105T1200,39.11095,0.0,10.970114,286.58734
20220105T1300,40.334953,0.0,12.766225,281.11304
20220105T1400,40.37095,0.0,13.711161,275.61758
20220105T1500,39.758953,0.0,13.228221,273.87854
20220105T1600,37.92295,0.0,10.299628,272.48956
20220105T1700,36.842953,0.0,9.269126,261.67435
20220105T1800,35.31295,0.0,8.914128,252.47443
20220105T1900,35.92495,0.0,10.12816,263.65982
20220105T2000,36.32095,0.0,12.558759,265.91437
20220105T2100,35.960953,0.0,13.423481,269.04517
20220105T2200,35.88895,0.0,11.88948,274.31604
20220105T2300,35.90695,0.0,10.37707,277.4314
20220106T0000,35.600952,0.0,9.660355,275.31454
20220106T0100,35.258953,0.0,9.629226,272.66302
20220106T0200,34.772953,0.0,11.857873,271.08093
20220106T0300,34.322952,0.0,12.974231,270.0
20220106T0400,33.890953,0.0,13.897839,273.6914
20220106T0500,33.60295,0.3,15.787447,277.32642
20220106T0600,33.65695,0.2,15.98275,276.42877
20220106T0700,33.69295,0.1,16.482138,277.8002
20220106T0800,34.070953,0.1,15.85071,278.9306
20220106T0900,34.898952,0.0,15.787447,277.32642
20220106T1000,36.446953,0.0,15.04745,281.14288
20220106T1100,37.67095,0.0,13.79303,278.39294
20220106T1200,38.49895,0.0,6.0023303,333.43497
20220106T1300,39.59695,0.0,6.0023303,333.43497
20220106T1400,39.794952,0.0,7.358126,340.46335
20220106T1500,39.47095,0.0,7.7133765,343.1416
20220106T1600,37.814953,0.0,5.101,344.74487
20220106T1700,36.71695,0.0,2.9080172,360.0
20220106T1800,35.36695,0.0,2.377896,41.18593
20220106T1900,34.502953,0.0,1.3043468,239.03624
20220106T2000,34.79095,0.0,3.0425625,233.97263
20220106T2100,34.862953,0.0,2.7305288,214.99202
20220106T2200,31.982952,0.0,3.8224785,200.55605
20220106T2300,30.794952,0.0,3.68925,194.03624
20220107T0000,30.650951,0.0,2.5505,195.25513
